EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	19:18:47	0	0.1000	0.19631126229365584
2	19:19:00	0	0.1000	0.06741055898542272
3	19:19:14	0	0.1000	0.046194153687993844
4	19:19:31	0	0.1000	0.0432663177611586
5	19:19:46	0	0.1000	0.04055240925765437
6	19:19:59	0	0.1000	0.03004743292715352
7	19:20:12	0	0.1000	0.027410455933042706
8	19:20:25	1	0.1000	0.03496714013589608
9	19:20:38	0	0.1000	0.02345363275247821
10	19:20:51	0	0.1000	0.0210134643731199
11	19:21:05	0	0.1000	0.018235630916184912
12	19:21:19	1	0.1000	0.018951553890612028
13	19:21:34	0	0.1000	0.016637970755548917
14	19:21:48	0	0.1000	0.014660610957619474
15	19:22:03	0	0.1000	0.011978410462952921
16	19:22:18	0	0.1000	0.011776002766893463
17	19:22:32	1	0.1000	0.012030341166697413
18	19:22:45	2	0.1000	0.013207024691691455
19	19:22:58	3	0.1000	0.012193016389312146
20	19:23:11	0	0.1000	0.010091113443341144
21	19:23:24	0	0.1000	0.010038219978680814
22	19:23:37	0	0.1000	0.009580904677544121
23	19:23:51	0	0.1000	0.008585024436528317
24	19:24:04	1	0.1000	0.010023936459998951
25	19:24:18	0	0.1000	0.00850441984784576
26	19:24:31	0	0.1000	0.0073936888315145255
27	19:24:44	1	0.1000	0.009728900018592335
28	19:24:57	0	0.1000	0.007298191946613176
29	19:25:10	0	0.1000	0.00667842132349296
30	19:25:23	1	0.1000	0.0073859569233967436
31	19:25:36	0	0.1000	0.005354641612170526
32	19:25:49	1	0.1000	0.00699266715622027
33	19:26:04	2	0.1000	0.005847601180380964
34	19:26:19	0	0.1000	0.005027199771576148
35	19:26:33	1	0.1000	0.005911248204531292
36	19:26:49	2	0.1000	0.006928212926841378
37	19:27:04	0	0.1000	0.004977135268205258
38	19:27:19	0	0.1000	0.004915697026464521
39	19:27:33	0	0.1000	0.004091300838275824
40	19:27:46	0	0.1000	0.003605471591126005
41	19:27:59	1	0.1000	0.004412871996890019
42	19:28:12	2	0.1000	0.0050833427667174545
43	19:28:25	3	0.1000	0.004617100681950302
44	19:28:38	4	0.1000	0.005064711790394128
45	19:28:51	0	0.0500	0.00285282900352612
46	19:29:05	0	0.0500	0.0015979904548315636
47	19:29:18	1	0.0500	0.001796865433706919
48	19:29:31	2	0.0500	0.0023631785088791086
49	19:29:44	3	0.0500	0.0024898031776883684
50	19:29:57	0	0.0500	0.0015705965491666994
