EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	22:29:00	0	0.1000	0.01247583292804257
2	22:29:17	0	0.1000	0.008364303291996642
3	22:29:32	0	0.1000	0.006475078834022844
4	22:29:47	0	0.1000	0.005491538735927328
5	22:30:02	0	0.1000	0.00455721994030374
6	22:30:17	0	0.1000	0.004054384088783954
7	22:30:33	1	0.1000	0.004323644681689793
8	22:30:48	0	0.1000	0.0036717125769091833
9	22:31:01	1	0.1000	0.0038263593004607046
10	22:31:14	2	0.1000	0.0038500178328768134
11	22:31:27	0	0.1000	0.0025327666977334852
12	22:31:40	1	0.1000	0.003101246449674185
13	22:31:53	2	0.1000	0.002758541110152389
14	22:32:07	3	0.1000	0.0031660848507689796
15	22:32:21	4	0.1000	0.00281913430707126
16	22:32:36	0	0.0500	0.002095162459484726
17	22:32:49	0	0.0500	0.0019194913470688072
18	22:33:02	1	0.0500	0.002105073736472
19	22:33:15	0	0.0500	0.0014425302201285138
20	22:33:29	1	0.0500	0.001789920095545657
21	22:33:42	2	0.0500	0.0021999545641712896
22	22:33:55	0	0.0500	0.0014288983193324345
23	22:34:09	1	0.0500	0.0014888614347953264
24	22:34:22	2	0.0500	0.001833616980744836
25	22:34:35	3	0.0500	0.0017712447419685146
26	22:34:48	4	0.0500	0.0015122432127691004
27	22:35:01	0	0.0250	0.0012609940428921229
28	22:35:14	1	0.0250	0.0012807304434281522
29	22:35:29	2	0.0250	0.0014937585841397233
30	22:35:43	0	0.0250	0.0007592117892999266
31	22:35:57	1	0.0250	0.0010932326242467127
32	22:36:10	2	0.0250	0.0010021154536951056
33	22:36:25	3	0.0250	0.0011514936422553075
34	22:36:39	4	0.0250	0.0010574885529176835
35	22:36:54	1	0.0125	0.0008184475520961521
36	22:37:07	2	0.0125	0.0007649890894105514
37	22:37:20	3	0.0125	0.0012163083948447517
38	22:37:34	4	0.0125	0.0011436928332434495
39	22:37:47	1	0.0063	0.0007692912582251504
40	22:38:00	2	0.0063	0.0008132301811667236
41	22:38:14	3	0.0063	0.001429441342559072
42	22:38:29	4	0.0063	0.0010684496599365158
43	22:38:42	1	0.0031	0.0008868357574500967
44	22:38:56	0	0.0031	0.0007564486572811375
45	22:39:09	1	0.0031	0.001118695321958609
46	22:39:24	2	0.0031	0.0009724083698373447
47	22:39:37	3	0.0031	0.0009373672094283616
48	22:39:50	4	0.0031	0.0008258858746365813
49	22:40:03	1	0.0016	0.0007964092273676463
50	22:40:16	2	0.0016	0.0010063108324037814
