NEN Evaluation	tp: 4000 - fp: 545 - fn: 846 - tn: 3946 - precision: 0.8801 - recall: 0.8254 - accuracy: 0.7420 - f1-score: 0.8519
GENE      	tp: 3417 - fp: 445 - fn: 754 - tn: 3371 - precision: 0.8848 - recall: 0.8192 - accuracy: 0.7403 - f1-score: 0.8507
SPECIES   	tp: 517 - fp: 88 - fn: 78 - tn: 509 - precision: 0.8545 - recall: 0.8689 - accuracy: 0.7570 - f1-score: 0.8616
VARIANT   	tp: 66 - fp: 12 - fn: 14 - tn: 66 - precision: 0.8462 - recall: 0.8250 - accuracy: 0.7174 - f1-score: 0.8355
