EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	20:41:21	0	0.1000	0.04522706520541739
2	20:41:35	0	0.1000	0.027134588394465805
3	20:41:49	0	0.1000	0.024124084176904426
4	20:42:06	0	0.1000	0.02090979928256021
5	20:42:20	0	0.1000	0.01958153430171771
6	20:42:33	0	0.1000	0.016529318437313124
7	20:42:46	0	0.1000	0.015462562220168646
8	20:43:00	1	0.1000	0.01604837425121653
9	20:43:13	0	0.1000	0.014688145866845189
10	20:43:26	0	0.1000	0.012938306861105479
11	20:43:40	0	0.1000	0.012800361818772265
12	20:43:53	0	0.1000	0.011738187035499201
13	20:44:06	0	0.1000	0.011722999051428656
14	20:44:19	0	0.1000	0.010921078254609478
15	20:44:34	1	0.1000	0.011331723372350385
16	20:44:47	0	0.1000	0.010797476824887008
17	20:45:01	0	0.1000	0.009578240578810583
18	20:45:16	0	0.1000	0.008986325483284548
19	20:45:31	0	0.1000	0.008526860486505536
20	20:45:47	1	0.1000	0.00864549148098398
21	20:46:02	0	0.1000	0.008033262044778791
22	20:46:16	0	0.1000	0.007622627278351752
23	20:46:30	0	0.1000	0.0072944881724935325
24	20:46:43	1	0.1000	0.007457092801468758
25	20:46:57	2	0.1000	0.007820243033410371
26	20:47:10	0	0.1000	0.005748708852800527
27	20:47:24	1	0.1000	0.0067702977008794515
28	20:47:37	2	0.1000	0.006486977766440513
29	20:47:50	3	0.1000	0.007046942140676972
30	20:48:04	4	0.1000	0.00658506992455381
31	20:48:17	0	0.0500	0.005325422725602299
32	20:48:30	0	0.0500	0.00520223143849517
33	20:48:44	0	0.0500	0.004155502168953653
34	20:48:57	1	0.0500	0.00440388735897751
35	20:49:13	0	0.0500	0.004027962929002558
36	20:49:27	1	0.0500	0.004126457710617005
37	20:49:40	0	0.0500	0.003647928200319468
38	20:49:54	1	0.0500	0.004395073177623373
39	20:50:07	2	0.0500	0.004250567206885279
40	20:50:21	0	0.0500	0.0035750306890139287
41	20:50:34	1	0.0500	0.003687169855746897
42	20:50:48	0	0.0500	0.003400364273011136
43	20:51:02	0	0.0500	0.0029466126500855296
44	20:51:17	1	0.0500	0.003806189212473244
45	20:51:32	2	0.0500	0.004001979777753431
46	20:51:48	3	0.0500	0.003157684787344212
47	20:52:02	4	0.0500	0.003066379557144626
48	20:52:17	1	0.0250	0.0037974512498732777
49	20:52:31	0	0.0250	0.002633790305660213
50	20:52:46	1	0.0250	0.002749564538020812
