EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	18:19:26	0	0.1000	0.1400320405581844
2	18:19:38	0	0.1000	0.029728833960738218
3	18:19:50	0	0.1000	0.022542699755924937
4	18:20:03	0	0.1000	0.016053111536939686
5	18:20:15	0	0.1000	0.013768788409415318
6	18:20:28	0	0.1000	0.012804832002442377
7	18:20:40	0	0.1000	0.01047566121236718
8	18:20:53	0	0.1000	0.009551122990848357
9	18:21:07	0	0.1000	0.00867706412890804
10	18:21:19	0	0.1000	0.007204603764715827
11	18:21:31	0	0.1000	0.006978234336583532
12	18:21:44	0	0.1000	0.005027922537917319
13	18:21:56	1	0.1000	0.006557729859362947
14	18:22:09	0	0.1000	0.0045713237237644646
15	18:22:21	1	0.1000	0.004785153004434133
16	18:22:34	2	0.1000	0.004920113729411131
17	18:22:46	3	0.1000	0.004616340658088972
18	18:23:00	4	0.1000	0.005247280805028684
19	18:23:15	0	0.0500	0.0026186778017913623
20	18:23:28	1	0.0500	0.0031592064567696728
21	18:23:42	0	0.0500	0.0019113648605110281
22	18:23:56	1	0.0500	0.00205981699402385
23	18:24:09	2	0.0500	0.0022979438169464005
24	18:24:23	0	0.0500	0.0014009703734866156
25	18:24:37	1	0.0500	0.0014536737829317513
26	18:24:51	2	0.0500	0.0019384962644145597
27	18:25:05	3	0.0500	0.0017448964874450393
28	18:25:18	0	0.0500	0.0009372064432460547
29	18:25:32	1	0.0500	0.0017270748833441779
30	18:25:47	2	0.0500	0.0014116990617966017
31	18:26:01	3	0.0500	0.0013934348491912193
32	18:26:14	4	0.0500	0.0018475265991488312
33	18:26:28	1	0.0250	0.0015020638895143139
34	18:26:42	2	0.0250	0.0013942303822026276
35	18:26:56	0	0.0250	0.0009168650684857068
36	18:27:10	1	0.0250	0.0009915964880700791
37	18:27:24	2	0.0250	0.0010092121046255797
38	18:27:38	0	0.0250	0.0009151536358015962
39	18:27:52	0	0.0250	0.0005970043575583941
40	18:28:06	1	0.0250	0.0008586948259239772
41	18:28:20	2	0.0250	0.0008706685507304903
42	18:28:34	3	0.0250	0.0011844545375017852
43	18:28:48	4	0.0250	0.0009307977557797935
44	18:29:02	1	0.0125	0.0006217622136409754
45	18:29:15	2	0.0125	0.0007973580142728211
46	18:29:29	0	0.0125	0.0005311063684921722
47	18:29:43	1	0.0125	0.0009549343741105081
48	18:29:56	0	0.0125	0.0004632166165306755
49	18:30:10	1	0.0125	0.000907542808468099
50	18:30:26	2	0.0125	0.0005799130304025683
