EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	22:52:57	0	0.1000	0.007599477059853439
2	22:53:11	0	0.1000	0.006016425737955369
3	22:53:25	0	0.1000	0.005321296936068876
4	22:53:40	0	0.1000	0.004804281482468875
5	22:53:54	0	0.1000	0.004272278100809272
6	22:54:08	0	0.1000	0.003349987968252798
7	22:54:22	0	0.1000	0.0030537897233763414
8	22:54:38	0	0.1000	0.002902772155113201
9	22:54:52	0	0.1000	0.002675226735062156
10	22:55:06	1	0.1000	0.0033151622592492323
11	22:55:20	2	0.1000	0.002743171138164755
12	22:55:34	0	0.1000	0.0020359223050040584
13	22:55:47	1	0.1000	0.0023938566536286024
14	22:56:00	2	0.1000	0.0021006615644994105
15	22:56:13	3	0.1000	0.0023337396262426697
16	22:56:26	0	0.1000	0.0016568338174275798
17	22:56:39	1	0.1000	0.0019368429283085334
18	22:56:54	2	0.1000	0.001863760522579192
19	22:57:08	3	0.1000	0.002297477506028093
20	22:57:21	4	0.1000	0.0018201297234951605
21	22:57:34	0	0.0500	0.0014756640993643466
22	22:57:47	0	0.0500	0.0012786702712872132
23	22:58:00	1	0.0500	0.0013851971370381438
24	22:58:15	2	0.0500	0.0017786087387641925
25	22:58:30	3	0.0500	0.0013709683941653449
26	22:58:45	4	0.0500	0.0013494221402303875
27	22:59:00	0	0.0250	0.0008716727590260106
28	22:59:13	1	0.0250	0.0011044651215923699
29	22:59:26	2	0.0250	0.0010152389908459358
30	22:59:39	3	0.0250	0.001239113929410063
31	22:59:51	0	0.0250	0.0008574958701188437
32	23:00:04	1	0.0250	0.0014396435313894838
33	23:00:17	2	0.0250	0.0008634762056192475
34	23:00:30	3	0.0250	0.0009628691076627378
35	23:00:45	4	0.0250	0.0008734140818473125
36	23:00:58	1	0.0125	0.0009300742435395283
37	23:01:11	0	0.0125	0.000733176183561492
38	23:01:23	0	0.0125	0.0006783912925999089
39	23:01:36	1	0.0125	0.0009417955678095576
40	23:01:49	2	0.0125	0.0008160869007361289
41	23:02:02	3	0.0125	0.0007512768689096115
42	23:02:14	4	0.0125	0.00074135933237506
43	23:02:27	1	0.0063	0.0011500847138530598
44	23:02:42	0	0.0063	0.0005716261583670125
45	23:02:55	1	0.0063	0.0007548090159749831
46	23:03:08	2	0.0063	0.0011773595566962956
47	23:03:20	3	0.0063	0.0007895527413102964
48	23:03:33	4	0.0063	0.0006881973774162686
49	23:03:46	1	0.0031	0.0008185338393827646
50	23:03:59	2	0.0031	0.0007871828974537732
