EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	23:28:29	0	0.1000	0.008299902413039625
2	23:28:40	0	0.1000	0.005467464916917781
3	23:28:53	0	0.1000	0.004715792179405131
4	23:29:10	0	0.1000	0.004352846867479439
5	23:29:24	0	0.1000	0.0035658095378245107
6	23:29:38	0	0.1000	0.0032909708970994605
7	23:29:53	0	0.1000	0.002908643875034814
8	23:30:07	1	0.1000	0.0031940240725134334
9	23:30:20	2	0.1000	0.0030264615715107765
10	23:30:35	0	0.1000	0.0024864176599268956
11	23:30:49	0	0.1000	0.0024285862316433815
12	23:31:04	0	0.1000	0.002426528762100293
13	23:31:19	0	0.1000	0.0023352630571209483
14	23:31:34	0	0.1000	0.0019389248905669729
15	23:31:48	1	0.1000	0.0019506920794484818
16	23:32:01	2	0.1000	0.002085444336746606
17	23:32:14	0	0.1000	0.001901841009944758
18	23:32:27	1	0.1000	0.002235260344910061
19	23:32:41	2	0.1000	0.0022620892023985685
20	23:32:54	0	0.1000	0.0013839692081872627
21	23:33:08	1	0.1000	0.0017119264820802482
22	23:33:21	0	0.1000	0.0013429738052869492
23	23:33:34	0	0.1000	0.0012200874210420332
24	23:33:47	1	0.1000	0.0016875462860247033
25	23:34:00	2	0.1000	0.0018863955612959994
26	23:34:14	0	0.1000	0.0007426390704406624
27	23:34:27	1	0.1000	0.0014921222761332257
28	23:34:40	2	0.1000	0.0013077904315915963
29	23:34:53	3	0.1000	0.0008130474629980235
30	23:35:06	4	0.1000	0.001491420480708715
31	23:35:19	0	0.0500	0.0007238260647144504
32	23:35:32	1	0.0500	0.0009042949110337716
33	23:35:45	2	0.0500	0.000989394020355028
34	23:35:59	3	0.0500	0.0008891416354545265
35	23:36:13	0	0.0500	0.000672426112701105
36	23:36:26	0	0.0500	0.0005522644378509807
37	23:36:39	1	0.0500	0.0012750639492073782
38	23:36:55	2	0.0500	0.0015000453682445542
39	23:37:10	3	0.0500	0.001056001473425034
40	23:37:25	4	0.0500	0.0007389381289308596
41	23:37:40	1	0.0250	0.0006912991568759118
42	23:37:55	0	0.0250	0.0003838650177312904
43	23:38:09	1	0.0250	0.0008885774673902956
44	23:38:22	2	0.0250	0.0008030435503037314
45	23:38:35	3	0.0250	0.0007542955773762691
46	23:38:49	4	0.0250	0.0007945083733977288
47	23:39:02	1	0.0125	0.0006878621416097869
48	23:39:16	2	0.0125	0.0005808146288945735
49	23:39:29	3	0.0125	0.0006225259320407232
50	23:39:42	4	0.0125	0.0006868342248683016
