EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	21:28:31	0	0.1000	0.040437945929900306
2	21:28:45	0	0.1000	0.028254364180847473
3	21:29:00	0	0.1000	0.023200340195638172
4	21:29:14	0	0.1000	0.021061922091410498
5	21:29:29	0	0.1000	0.019583640883880635
6	21:29:43	0	0.1000	0.016753448843088384
7	21:29:57	0	0.1000	0.015995857496969565
8	21:30:10	0	0.1000	0.015975906537064495
9	21:30:22	0	0.1000	0.014347865542346164
10	21:30:36	0	0.1000	0.013316821942931278
11	21:30:52	0	0.1000	0.012392719661056636
12	21:31:05	1	0.1000	0.012571168183834197
13	21:31:18	0	0.1000	0.01174662531624467
14	21:31:30	0	0.1000	0.011104054722673904
15	21:31:42	0	0.1000	0.010410137373832437
16	21:31:54	1	0.1000	0.010560394994283967
17	21:32:07	0	0.1000	0.009549944409215543
18	21:32:19	0	0.1000	0.009084613860136854
19	21:32:31	0	0.1000	0.008932634013733811
20	21:32:44	0	0.1000	0.00836485284706936
21	21:32:58	1	0.1000	0.008545450694250153
22	21:33:12	0	0.1000	0.007289915601437244
23	21:33:26	1	0.1000	0.00852156964526352
24	21:33:39	2	0.1000	0.007339415120890097
25	21:33:51	3	0.1000	0.007550683356689847
26	21:34:03	0	0.1000	0.007071878216474362
27	21:34:15	1	0.1000	0.007850224051115592
28	21:34:27	2	0.1000	0.007626092044745445
29	21:34:40	3	0.1000	0.007308742513674464
30	21:34:52	0	0.1000	0.006495348528185563
31	21:35:04	1	0.1000	0.006523019857479991
32	21:35:17	2	0.1000	0.00720678542849675
33	21:35:30	0	0.1000	0.006320752877409727
34	21:35:42	1	0.1000	0.006476792582208289
35	21:35:55	0	0.1000	0.006290645925585706
36	21:36:07	0	0.1000	0.005568766896356339
37	21:36:20	1	0.1000	0.00610553784488417
38	21:36:32	2	0.1000	0.005580421668076669
39	21:36:44	3	0.1000	0.006170331006437806
40	21:36:57	4	0.1000	0.0058732185970599106
41	21:37:09	0	0.0500	0.0047263140538596985
42	21:37:21	1	0.0500	0.005086831725246075
43	21:37:35	2	0.0500	0.0047610875697065526
44	21:37:47	0	0.0500	0.00466623527390418
45	21:37:59	1	0.0500	0.004942415409560114
46	21:38:11	0	0.0500	0.004051541236017568
47	21:38:24	1	0.0500	0.004949126999153618
48	21:38:36	0	0.0500	0.003723200033350084
49	21:38:49	1	0.0500	0.003789834878032682
50	21:39:01	0	0.0500	0.003688842845225835
