EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	19:30:33	0	0.1000	0.16714541065293803
2	19:30:48	0	0.1000	0.06707112667441095
3	19:31:01	0	0.1000	0.045278045436552145
4	19:31:13	0	0.1000	0.03988354566514207
5	19:31:25	0	0.1000	0.03219311751454703
6	19:31:38	0	0.1000	0.030665471192381936
7	19:31:52	0	0.1000	0.027597079098063512
8	19:32:06	0	0.1000	0.023798720098925023
9	19:32:23	1	0.1000	0.024005315424771783
10	19:32:37	0	0.1000	0.022013524325282145
11	19:32:51	1	0.1000	0.022619121844120547
12	19:33:06	0	0.1000	0.018106020768582635
13	19:33:20	0	0.1000	0.017182194683402558
14	19:33:35	1	0.1000	0.01727038051760303
15	19:33:49	0	0.1000	0.013353991778681695
16	19:34:03	1	0.1000	0.014469081967802597
17	19:34:18	0	0.1000	0.01235445807743132
18	19:34:32	1	0.1000	0.013730250814893583
19	19:34:46	2	0.1000	0.013395393085618554
20	19:35:01	0	0.1000	0.012102924902391028
21	19:35:16	0	0.1000	0.011046432846423915
22	19:35:30	1	0.1000	0.012068605517171033
23	19:35:45	0	0.1000	0.010298464471274043
24	19:36:00	1	0.1000	0.010783817310000091
25	19:36:15	0	0.1000	0.008031847348553297
26	19:36:30	1	0.1000	0.00903361780426809
27	19:36:45	0	0.1000	0.00758896115218361
28	19:37:00	0	0.1000	0.00731299943055351
29	19:37:15	1	0.1000	0.007494038183541872
30	19:37:31	0	0.1000	0.006366880427380564
31	19:37:44	0	0.1000	0.006100764961742418
32	19:37:58	0	0.1000	0.005828830749137309
33	19:38:12	1	0.1000	0.006922016274683637
34	19:38:27	0	0.1000	0.005224111373173172
35	19:38:42	1	0.1000	0.006329484356741173
36	19:38:56	0	0.1000	0.004354909443513201
37	19:39:09	1	0.1000	0.0059890315993260035
38	19:39:22	2	0.1000	0.004439365370503134
39	19:39:35	3	0.1000	0.0056339021060243175
40	19:39:48	0	0.1000	0.0038076623558477543
41	19:40:02	1	0.1000	0.004117657251332252
42	19:40:15	2	0.1000	0.004282319216054947
43	19:40:28	0	0.1000	0.0031813126290555953
44	19:40:41	1	0.1000	0.005931555295243385
45	19:40:54	2	0.1000	0.0032337983052679493
46	19:41:07	3	0.1000	0.0037387619397327393
47	19:41:20	4	0.1000	0.004641890153986026
48	19:41:33	0	0.0500	0.0025138658157478726
49	19:41:46	0	0.0500	0.0018244271319034964
50	19:42:00	0	0.0500	0.0016140166625928968
