EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	19:07:01	0	0.1000	0.11733630036360299
2	19:07:16	0	0.1000	0.05590134985384745
3	19:07:29	0	0.1000	0.043796616607897104
4	19:07:44	0	0.1000	0.03502921307559893
5	19:07:58	0	0.1000	0.03238078016083986
6	19:08:12	0	0.1000	0.02924545611018047
7	19:08:27	0	0.1000	0.02583891787302779
8	19:08:42	0	0.1000	0.02303698909266482
9	19:08:56	0	0.1000	0.0211348981303649
10	19:09:10	0	0.1000	0.019054572838856157
11	19:09:23	0	0.1000	0.01654516235770288
12	19:09:36	0	0.1000	0.015222688499264529
13	19:09:50	1	0.1000	0.0157594031588899
14	19:10:03	2	0.1000	0.01561551594316022
15	19:10:16	0	0.1000	0.011589168022461412
16	19:10:29	1	0.1000	0.015340658598567713
17	19:10:42	2	0.1000	0.013076246956715451
18	19:10:55	0	0.1000	0.010401608730842284
19	19:11:08	0	0.1000	0.009172174365965959
20	19:11:22	1	0.1000	0.010324637961305852
21	19:11:35	0	0.1000	0.007891813212402059
22	19:11:49	0	0.1000	0.0077053817280920015
23	19:12:02	0	0.1000	0.006497265326460622
24	19:12:15	1	0.1000	0.008321313769769054
25	19:12:28	2	0.1000	0.00759512990371717
26	19:12:41	0	0.1000	0.006175145620852564
27	19:12:54	1	0.1000	0.006963453563808446
28	19:13:07	2	0.1000	0.007682165859756435
29	19:13:21	3	0.1000	0.0071128530676994005
30	19:13:34	0	0.1000	0.005461747360402315
31	19:13:47	1	0.1000	0.006507904630950736
32	19:14:01	2	0.1000	0.005483654329101057
33	19:14:14	0	0.1000	0.004546356275238872
34	19:14:27	1	0.1000	0.005986359472622278
35	19:14:40	2	0.1000	0.006144927273397808
36	19:14:53	3	0.1000	0.005038209109929424
37	19:15:06	4	0.1000	0.004772641988844017
38	19:15:19	0	0.0500	0.0032845932460125963
39	19:15:32	0	0.0500	0.002774573949446347
40	19:15:46	1	0.0500	0.002838375162410162
41	19:16:01	2	0.0500	0.003118928506006956
42	19:16:15	0	0.0500	0.0020959304672299476
43	19:16:30	1	0.0500	0.0025439675869150737
44	19:16:45	2	0.0500	0.0023409571310330592
45	19:17:00	3	0.0500	0.00210038964613056
46	19:17:16	0	0.0500	0.0017141807921055752
47	19:17:30	0	0.0500	0.001663223438436997
48	19:17:44	1	0.0500	0.0023450807370566126
49	19:17:58	2	0.0500	0.0018585950809345685
50	19:18:11	3	0.0500	0.0023254799183946807
