EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	23:40:20	0	0.1000	0.008193803278438052
2	23:40:32	0	0.1000	0.0052098509077956896
3	23:40:45	0	0.1000	0.004919935369303599
4	23:40:59	0	0.1000	0.004796848861052705
5	23:41:11	0	0.1000	0.003964853775485586
6	23:41:24	0	0.1000	0.0031629401970160306
7	23:41:36	1	0.1000	0.0035063978187671314
8	23:41:49	2	0.1000	0.003318193864258454
9	23:42:02	3	0.1000	0.003416994523438142
10	23:42:19	4	0.1000	0.0034448138799679892
11	23:42:32	0	0.0500	0.0023336329817301967
12	23:42:45	0	0.0500	0.0020808207879085263
13	23:42:58	1	0.0500	0.002158548603233307
14	23:43:11	2	0.0500	0.0020844010391937134
15	23:43:24	0	0.0500	0.0011325837560144892
16	23:43:37	1	0.0500	0.0013286891090102328
17	23:43:50	2	0.0500	0.0019992917846599484
18	23:44:03	0	0.0500	0.001013206489452708
19	23:44:15	1	0.0500	0.001535146214488928
20	23:44:29	2	0.0500	0.0013082699017518454
21	23:44:42	3	0.0500	0.0010811930041118927
22	23:44:55	4	0.0500	0.0013181108682760272
23	23:45:08	1	0.0250	0.0012605478384491648
24	23:45:21	2	0.0250	0.001385882223482671
25	23:45:34	3	0.0250	0.001072493915332288
26	23:45:47	4	0.0250	0.001477094943514008
27	23:46:00	1	0.0125	0.0010427899805537661
28	23:46:13	0	0.0125	0.000785426642359008
29	23:46:26	1	0.0125	0.0014212201052050397
30	23:46:40	2	0.0125	0.0010493127619859894
31	23:46:53	3	0.0125	0.0009029027510253265
32	23:47:05	4	0.0125	0.001459835694121312
33	23:47:18	1	0.0063	0.0011431183984182511
34	23:47:33	2	0.0063	0.0008224928676690441
35	23:47:46	0	0.0063	0.00077181900064516
36	23:47:59	1	0.0063	0.0008743564089400383
37	23:48:12	2	0.0063	0.0008013663122751083
38	23:48:25	3	0.0063	0.0008376008734283247
39	23:48:38	0	0.0063	0.0004452489584723534
40	23:48:50	1	0.0063	0.0008349626418325496
41	23:49:05	2	0.0063	0.000906786348440644
42	23:49:20	3	0.0063	0.0006556510173381549
43	23:49:35	0	0.0063	0.0004104527286725038
44	23:49:49	1	0.0063	0.0008634468259072021
45	23:50:04	2	0.0063	0.0008437657700888275
46	23:50:19	3	0.0063	0.0005907420635849982
47	23:50:34	4	0.0063	0.0008770673503700286
48	23:50:48	1	0.0031	0.0009394199556809374
49	23:51:03	2	0.0031	0.0010450784229574317
50	23:51:16	3	0.0031	0.0008786656884733543
